Model,Accuracy,Precision,Recall,F1-Score
Naive Bayes (MultinomialNB),0.9739442946990117,0.9918032786885246,0.8120805369127517,0.8929889298892989
Logistic Regression,0.9694519317160827,0.9831932773109243,0.785234899328859,0.8731343283582089
Support Vector Machine,0.9793351302785265,0.9921875,0.8523489932885906,0.9169675090252708
Random Forest,0.9793351302785265,1.0,0.8456375838926175,0.9163636363636364
